route_id,origin_node,destination_node,route_type,route_origin,period_from,period_to,seasonality,monsoon_dependence,base_distance_nm,navigation_notes,crown_knowledge_1497,player_knowledge_default,evidence_strength,evidence_scope,source_id,notes
R_LIS_STG,LIS,STG,OCEANIC,PORTUGUESE_ATLANTIC_NETWORK,1497,1500,ATLANTIC_SEASONAL,NONE,,"Perna Lisboa-Santiago documentada no Roteiro; a escala de Santiago é tratada como ancoradouro de abastecimento, não como mercado obrigatório.",HIGH,MEDIUM,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"Primeira perna operacional da armada de 1497."
R_STG_SHB,STG,SHB,OCEANIC,PORTUGUESE_EXPEDITION,1497,1497,SOUTH_ATLANTIC_WIND_SYSTEM,NONE,,"Grande volta pelo Atlântico Sul entre Santiago e a baía de Santa Helena; a derrota real não é reconstruída pela geodésica.",LOW,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497|NEWITT_PEW,"O Roteiro documenta partida em 3 de agosto e retorno à costa na baía de Santa Helena em novembro."
R_SHB_CGH,SHB,CGH,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1497,1497,SOUTHERN_ATLANTIC_COAST,NONE,,"Trecho curto mas meteorologicamente difícil; tentativa de 19 de novembro falhou por vento contrário e a dobragem ocorreu em 22 de novembro segundo o Roteiro.",HIGH,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"A rota termina no marco náutico do Cabo, não em um mercado."
R_CGH_SBR,CGH,SBR,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1497,1497,SOUTHERN_AFRICA_CURRENTS,NONE,,"Do Cabo à angra de São Brás; conexão costeira da primeira viagem.",HIGH,UNKNOWN,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"São Brás é escala logística e de abastecimento."
R_SBR_RCO,SBR,RCO,OCEANIC,PORTUGUESE_EXPEDITION,1497,1498,SOUTHERN_AFRICA_CURRENTS,NONE,,"Trecho longo entre São Brás e a escala identificada no Roteiro como Rio do Cobre/Terra da Boa Gente; a âncora moderna de destino é espacialmente incerta.",LOW,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"A confiança espacial da rota é limitada pela identificação LOW do Rio do Cobre."
R_RCO_RBS,RCO,RBS,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1498,1498,SOUTHEAST_AFRICA_COAST,NONE,,"Trecho costeiro entre a escala de água do Rio do Cobre e o Rio dos Bons Sinais.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497,"A cronologia fina deriva da edição do Roteiro e de sua reconstrução editorial."
R_RBS_MOZ,RBS,MOZ,COASTAL_OCEANIC,PORTUGUESE_EXPEDITION,1498,1498,MOZAMBIQUE_CHANNEL,MEDIUM,,"Trecho do Rio dos Bons Sinais até a Ilha de Moçambique, já na transição para o sistema monçônico do Índico ocidental.",UNKNOWN,UNKNOWN,B,NODE_DIRECT,ROTEIRO_GAMA_1497|ALPERS_IOWH,"Primeira ligação operacional da campanha com um grande porto da rede índica."
R_LIS_CGH,LIS,CGH,OCEANIC,STRATEGIC_AGGREGATE,1488,1500,ATLANTIC_SEASONAL,NONE,,"Conexão estratégica agregada Lisboa-Cabo preservada para leitura do mapa; não é uma perna executável após a segmentação do itinerário de 1497.",HIGH,MEDIUM,A,NETWORK,NEWITT_PEW|SUBRAHMANYAM_PEA,"A execução histórica usa LIS-STG-SHB-CGH."
R_CGH_MOZ,CGH,MOZ,OCEANIC,STRATEGIC_AGGREGATE,1497,1500,MIXED_ATLANTIC_INDIAN,MEDIUM,,"Conexão estratégica agregada Cabo-Moçambique; não é executável no loop histórico após a segmentação das escalas.",LOW,UNKNOWN,A,NETWORK,SUBRAHMANYAM_PEA|ROTEIRO_GAMA_1497,"A execução histórica usa CGH-SBR-RCO-RBS-MOZ."
R_SOF_KIL,SOF,KIL,COASTAL_OCEANIC,PREEXISTING_NETWORK,1450,1505,MONSOON_AND_CURRENTS,HIGH,,"Conexão marítima do sistema do ouro da costa suaíli; o ouro chegava a Sofala pelo interior e era articulado à rede de Kilwa.",INDIRECT,UNKNOWN,B,NETWORK,ALPERS_IOWH,"Rota estrutural da rede pré-portuguesa; a extensão do período até 1505 permite reutilizar a conexão em 1502 sem reclassificá-la como criação portuguesa."
