expedition_id,label,authority,leader,period_from,period_to,expedition_type,finance_notes,protagonist_identity_fixed,evidence_grade,evidence_scope,source_id,notes
EXP_GAMA_1497,Armada de Vasco da Gama 1497-1499,COROA_PORTUGUESA,Vasco da Gama,1497,1499,ROYAL_APPOINTED_MIXED_FINANCE,"D. Manuel investiu relativamente pouco na expedicao; uma das quatro embarcacoes foi fornecida pelo banco Marchioni.",FALSE,A,NODE_DIRECT,NEWITT_PEW|SUBRAHMANYAM_PEA,"Vasco da Gama foi nomeado para o comando da pequena armada. O registro documenta a expedicao e sua chefia; nao fixa identidade ou profissao do protagonista."
EXP_GAMA_RETURN_1498,Retorno da armada de Vasco da Gama 1498-1499,COROA_PORTUGUESA,Vasco da Gama,1498,1499,RETURN_VOYAGE_SUBCAMPAIGN,"Subcampanha documental separada para preservar o fechamento do MVP em Calecute; representa somente o retorno ainda coberto pelo corpo do Roteiro ate os Baixos do Rio Grande.",FALSE,A,NODE_DIRECT,ROTEIRO_GAMA_1497,"E a mesma expedicao historica, separada apenas como unidade de modelagem pos-MVP. O trecho posterior a 25 de abril de 1499 permanece fora deste registro por depender de sintese editorial e trajetorias divergentes."
EXP_CABRAL_1500,Armada de Pedro Álvares Cabral 1500-1501,COROA_PORTUGUESA,Pedro Álvares Cabral,1500,1501,ROYAL_EXPEDITION_WITH_PRIVATE_ARMAMENT,"Treze embarcações na partida; a reconstrução documental indica onze da Coroa e duas de armadores privados. A primeira tranche funcional acompanha somente o núcleo principal; perdas, destacamentos e retornos assíncronos permanecem em expedition_events.csv.",FALSE,A,NODE_DIRECT,CAMINHA_1500_ANTT|OLIVEIRA_COSTA_CABRAL_1500,"Campanha principal Lisboa–Vera Cruz–África Oriental–Malabar–retorno. O registro não cria treze entidades navais nem fixa o protagonista como Cabral."
EXP_JOAO_NOVA_1501,Armada de João da Nova 1501-1502,COROA_PORTUGUESA,João da Nova,1501,1502,ROYAL_COMMERCIAL_EXPEDITION,"Armada comercial de quatro navios. A tranche P3 registra separadamente a aquisição tardia em São Brás das notícias sobre Calecute, Cochim e Cananor.",FALSE,B,NODE_DIRECT,DEFESA_JNOVA_1501|EVE_CANNANORE,"A expedição partiu antes do retorno de Cabral e não recebe retroativamente em Lisboa informações que só seriam adquiridas no percurso."
EXP_GAMA_1502,Segunda armada de Vasco da Gama 1502-1503,COROA_PORTUGUESA,Vasco da Gama,1502,1503,ROYAL_EXPEDITION_WITH_RESIDENT_FORCE,"A armada produz uma bifurcação institucional: o grosso retorna com Vasco da Gama e uma força sob Vicente Sodré permanece no Índico. A primeira tranche não simula duas frotas simultâneas no mesmo save.",FALSE,B,NODE_DIRECT,SUBRAHMANYAM_PEA|EVE_COCHIN|EVE_CANNANORE,"A força residente será normalizada como subcampanha separada somente quando necessária ao loop."
EXP_AFONSO_ALBUQUERQUE_1503,Armada de Afonso de Albuquerque 1503,COROA_PORTUGUESA,Afonso de Albuquerque,1503,1503,ROYAL_EXPEDITION,"Partida distinta em 06/04/1503. O registro histórico não pressupõe ainda itinerário normalizado ou campanha jogável.",FALSE,A,NODE_DIRECT,EVE_ARMADAS_MANUEL,"Diretamente relevante para a recuperação de Cochim. Sem linhas em expedition_routes.csv nesta tranche até que a convergência operacional necessária seja documentada."
EXP_FRANCISCO_ALBUQUERQUE_1503,Armada de Francisco de Albuquerque 1503,COROA_PORTUGUESA,Francisco de Albuquerque,1503,1503,ROYAL_EXPEDITION,"Partida distinta em 14/04/1503. A listagem EVE mantém esta componente separada da armada de Afonso de Albuquerque.",FALSE,A,NODE_DIRECT,EVE_ARMADAS_MANUEL,"Diretamente relevante para a recuperação de Cochim, mas sem rota executável enquanto o itinerário funcional não for normalizado."
EXP_SALDANHA_1503,Armada de António de Saldanha 1503,COROA_PORTUGUESA,António de Saldanha,1503,1503,ROYAL_EXPEDITION,"Partida distinta em 15/04/1503, com missão própria. O registro não a comprime no ciclo de Cochim.",FALSE,A,NODE_DIRECT,EVE_ARMADAS_MANUEL,"Permanece unidade histórica de catálogo sem pernas jogáveis nesta tranche; convergência com o ciclo de Cochim só será acrescentada se documentada e funcionalmente necessária."
EXP_LOPO_SOARES_1504,Armada de Lopo Soares de Albergaria 1504-1505,COROA_PORTUGUESA,Lopo Soares de Albergaria,1504,1505,ROYAL_EXPEDITION,"Partida documentada em 22/03/1504. O registro preserva a armada como unidade histórica sem pressupor itinerário diário normalizado ou campanha jogável.",FALSE,A,NODE_DIRECT,EVE_ARMADAS_MANUEL,"A armada chega ao Malabar no ciclo de setembro de 1504 e reforça a presença portuguesa; permanece sem linhas em expedition_routes.csv até que a rota seja documentalmente refinada e funcionalmente necessária."
EXP_DUARTE_PACHECO_DEFENSE_1504,Defesa residente de Cochim sob Duarte Pacheco 1504,COROA_PORTUGUESA,Duarte Pacheco Pereira,1504,1504,RESIDENT_DEFENSE_SUBCAMPAIGN,"Unidade documental para a força residente deixada em Cochim e sua defesa prolongada em 1504; não representa nova armada partida de Lisboa nem fixa o protagonista.",FALSE,B,NODE_DIRECT,EVE_DUARTE_PACHECO|JESUS_LAND_WARFARE_2021,"Subcampanha histórica sem pernas executáveis. Serve para possuir os eventos defensivos anteriores à chegada de Lopo Soares, preservando a aliança com o rajá e a soberania local de Cochim."
