good_id,bulk_index,base_value_index,strategic_value_index,perishability_index,exchange_index,notes
SUGAR,3,2,2,1,2,"Hipótese de balanceamento: produto valioso, mas volumoso em comparação com metais e especiarias finas."
GOLD,1,5,5,0,5,"Hipótese de balanceamento: alta densidade de valor e função de pagamento."
SILVER,1,5,5,0,5,"Hipótese de balanceamento: alta densidade de valor e função de pagamento."
METALWARE,3,2,2,0,3,"Categoria agregada usada como bem de troca no protótipo atlântico."
TEXTILE_EUR,2,2,1,0,2,"Valor e função de troca mantidos modestos até documentar melhor a aceitação por mercado."
TEXTILE_IND,2,3,4,0,5,"Função de troca elevada para permitir os circuitos intra-asiáticos documentados."
HORSE,5,4,5,3,2,"Carga viva, volumosa e estratégica; tratamento especial será necessário na implementação final."
PEPPER,3,4,4,0,3,"Mercadoria de alto valor relativo, mas mais volumosa que especiarias finas."
GINGER,2,3,2,1,2,"Índice intermediário para distinguir gengibre da pimenta e das especiarias finas."
CARDAMOM,1,4,2,0,2,"Baixo volume e valor relativo alto na primeira calibração."
CLOVE,1,5,3,0,3,"Especiaria fina de elevada densidade de valor na primeira calibração."
RICE,5,1,5,2,1,"Baixo valor unitário e alta importância de abastecimento."
COCONUT,4,1,2,2,1,"Produto regional volumoso e de baixo valor unitário na primeira calibração."
AROMATICS,1,4,2,0,3,"Categoria agregada de produtos orientais de baixo volume e valor elevado."
