node_id,good_id,period_from,period_to,trade_role,source_type,access_regime,restricted,documented_presence,evidence_strength,evidence_scope,source_id,source_page,notes
LIS,GOLD,1470,1500,IMPORT,IMPORTED,OPEN_MARKET,FALSE,TRUE,B,NETWORK,NEWITT_PEW,,"O ouro da África Ocidental reforçava os recursos da Coroa e entrava na economia portuguesa; a linha não implica uma única rota nem uma única origem."
FUN,SUGAR,1490,1500,EXPORT,LOCAL,CAPTAINCY,FALSE,TRUE,A,NODE_DIRECT,NEWITT_PEW,,"A Madeira já possuía economia açucareira consolidada no final do século XV."
ARG,GOLD,1443,1500,EXPORT,TRANSIT,ROYAL_MONOPOLY_LEASED,TRUE,TRUE,A,NODE_DIRECT,NEWITT_PEW|NEWITT_WA,,"Ouro recebido por meio das redes comerciais saarianas; não marcar como produção local da ilha."
ARG,METALWARE,1443,1500,DEMAND,IMPORTED,ROYAL_MONOPOLY_LEASED,TRUE,TRUE,B,NODE_DIRECT,NEWITT_PEW|NEWITT_WA,,"Objetos metálicos aparecem entre os bens usados na troca com comerciantes ligados às redes saarianas."
ELM,GOLD,1482,1500,EXPORT,HINTERLAND,ROYAL_MONOPOLY,TRUE,TRUE,A,NODE_DIRECT,NEWITT_PEW,,"São Jorge da Mina funcionava como feitoria fortificada do comércio de ouro; a Coroa buscava controlar o fluxo, não a produção interior."
STO,SUGAR,1493,1500,PRODUCE,LOCAL,CAPTAINCY,FALSE,TRUE,B,NODE_DIRECT,NEWITT_PEW,,"Cana e produção açucareira em implantação; não interpretar como grande exportação madura em 1497."
MOZ,GOLD,1498,1498,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,NODE_DIRECT,SUBRAHMANYAM_PEA,,"Ouro observado entre as cargas dos navios presentes na Ilha de Moçambique no primeiro contato português."
MOZ,SILVER,1498,1498,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,NODE_DIRECT,SUBRAHMANYAM_PEA,,"Prata observada entre as cargas dos navios presentes no porto em 1498."
MOZ,CLOVE,1498,1498,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,NODE_DIRECT,SUBRAHMANYAM_PEA,,"Cravo observado em circulação no porto; não há indicação de produção local."
MOZ,PEPPER,1498,1498,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,NODE_DIRECT,SUBRAHMANYAM_PEA,,"Pimenta observada em circulação no porto; não há indicação de produção local."
MOZ,GINGER,1498,1498,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,NODE_DIRECT,SUBRAHMANYAM_PEA,,"Gengibre observado em circulação no porto; não há indicação de produção local."
SOF,GOLD,1450,1500,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,B,NETWORK,ALPERS_IOWH,,"O ouro vinha de regiões auríferas do interior da África centro-meridional e alcançava o litoral por Sofala."
KIL,GOLD,1450,1500,TRANSIT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,B,NETWORK,ALPERS_IOWH|SUBRAHMANYAM_PEA,,"A importância de Kilwa esteve ligada ao controle e redistribuição do ouro que chegava via Sofala."
CAL,PEPPER,1490,1505,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE|SUBRAHMANYAM_PEA,,"A pimenta é uma das principais exportações do Malabar e a mercadoria de maior peso nas primeiras cargas portuguesas de retorno."
CAL,GINGER,1490,1505,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Gengibre entre as principais exportações da costa do Malabar."
CAL,CARDAMOM,1490,1505,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Cardamomo entre as especiarias exportadas pelo Malabar."
CAL,TEXTILE_IND,1490,1505,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,B,REGIONAL,PRAKASH_ECE,,"Prakash inclui tecidos entre as exportações da costa do Malabar; a linha não afirma produção dentro da cidade de Calecute."
CAL,COCONUT,1490,1505,EXPORT,HINTERLAND,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Coco e derivados aparecem entre as principais exportações da costa do Malabar."
CAL,GOLD,1490,1505,IMPORT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Ouro importado da Ásia Ocidental para a costa do Malabar."
CAL,SILVER,1490,1505,IMPORT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Prata importada da Ásia Ocidental para a costa do Malabar."
CAL,HORSE,1490,1505,IMPORT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Cavalos figuram entre os principais bens importados do oeste para a costa do Malabar."
CAL,AROMATICS,1490,1505,IMPORT,IMPORTED,FOREIGN_NEGOTIATED,FALSE,TRUE,A,REGIONAL,PRAKASH_ECE,,"Aromáticos e especiarias orientais eram importados para o Malabar a partir do leste; a categoria permanece agregada."
