event_id,expedition_id,sequence,trajectory_id,subject_type,subject_label,vessel_label,event_type,origin_node,destination_node,date_from,date_to,date_precision,variant_group,preferred_for_simulation,evidence_grade,evidence_scope,source_id,notes
GAMA1499_E01,EXP_GAMA_RETURN_1498,1,BERRIO_RETURN,VESSEL_AND_COMMANDER,Nicolau Coelho,Bérrio,FLEET_SEPARATION,BRG,,,1499-04-25,AFTER,,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Após o fim do manuscrito, Ravenstein resume com base em tradição posterior que Nicolau Coelho se separou da embarcação de Vasco da Gama durante o retorno. A data diária da separação não é fixada."
GAMA1499_E02A,EXP_GAMA_RETURN_1498,2,BERRIO_RETURN,VESSEL_AND_COMMANDER,Nicolau Coelho,Bérrio,ARRIVAL,,LIS,1499-07-10,1499-07-10,EXACT,BERRIO_ARRIVAL_1499,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Ravenstein usa 10 de julho de 1499 para a chegada de Nicolau Coelho a Cascais; o destino operacional é agregado a Lisboa no epílogo, sem converter Cascais em novo nó neste gate."
GAMA1499_E02B,EXP_GAMA_RETURN_1498,2,BERRIO_RETURN,VESSEL_AND_COMMANDER,Nicolau Coelho,Bérrio,ARRIVAL,,LIS,1499-07-11,1499-07-11,EXACT,BERRIO_ARRIVAL_1499,FALSE,C,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Variante de 11 de julho registrada por Ravenstein a partir do Paesi. Mantida como reivindicação alternativa, não harmonizada."
GAMA1499_E03,EXP_GAMA_RETURN_1498,3,SAO_GABRIEL_RETURN,VESSEL,São Gabriel,São Gabriel,COMMAND_CHANGE,,,1499-04-26,1499-08-27,RANGE,,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Barros, Góis e Castanheda, segundo Ravenstein, fazem João de Sá assumir o São Gabriel durante o retorno. O intervalo apenas limita o evento ao trecho pós-manuscrito anterior à chegada conhecida; não afirma uma data exata."
GAMA1499_E04,EXP_GAMA_RETURN_1498,4,SAO_GABRIEL_RETURN,VESSEL,São Gabriel,São Gabriel,ARRIVAL,,LIS,,1499-08-27,BEFORE,,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"O São Gabriel, conduzido por João de Sá segundo a tradição cronística convergente, já havia chegado antes de 28 de agosto de 1499. O schema preserva apenas o limite ante quem."
GAMA1499_E05,EXP_GAMA_RETURN_1498,5,GAMA_PERSONAL_RETURN,PERSON,Vasco da Gama,,TRAJECTORY_SPLIT,STG,,,1499-08-27,BEFORE,,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"A tradição resumida por Ravenstein separa a trajetória pessoal de Vasco da Gama da do São Gabriel em São Tiago. Ele segue numa caravela fretada para acompanhar Paulo da Gama à Terceira."
GAMA1499_E06,EXP_GAMA_RETURN_1498,6,GAMA_PERSONAL_RETURN,PERSON,Vasco da Gama,caravela fretada,ARRIVAL,STG,TER,,1499-08-27,BEFORE,,TRUE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Passagem a Angra/Terceira associada ao acompanhamento de Paulo da Gama. A data exata permanece não resolvida neste gate."
GAMA1499_E07A,EXP_GAMA_RETURN_1498,7,GAMA_PERSONAL_RETURN,PERSON,Vasco da Gama,,ARRIVAL,TER,LIS,1499-08-29,1499-08-29,EXACT,GAMA_LISBON_ARRIVAL_1499,FALSE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Data atribuída por Barros, Góis e Resende segundo Ravenstein. Preservada como variante documental."
GAMA1499_E07B,EXP_GAMA_RETURN_1498,7,GAMA_PERSONAL_RETURN,PERSON,Vasco da Gama,,ARRIVAL,TER,LIS,1499-09-08,1499-09-08,EXACT,GAMA_LISBON_ARRIVAL_1499,FALSE,B,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Data atribuída por Castanheda segundo Ravenstein. Preservada como variante documental."
GAMA1499_E07C,EXP_GAMA_RETURN_1498,7,GAMA_PERSONAL_RETURN,PERSON,Vasco da Gama,,ARRIVAL,TER,LIS,1499-09-18,1499-09-18,EXACT,GAMA_LISBON_ARRIVAL_1499,FALSE,C,EDITORIAL_SYNTHESIS,ROTEIRO_GAMA_1497,"Data de manuscrito da Torre do Tombo citada por Teixeira de Aragão, segundo Ravenstein. Preservada como variante documental."
