rule_type,key,supply_index,demand_index,volatility,cost_index,notes
TRADE_ROLE,PRODUCE,4,1,,,"Produção local cria oferta estrutural, mas não implica exportação em grande escala."
TRADE_ROLE,EXPORT,5,2,,,"Exportação documentada é tratada como forte disponibilidade relativa."
TRADE_ROLE,IMPORT,2,5,,,"Importação documentada indica procura e oferta dependente de chegada externa."
TRADE_ROLE,TRANSIT,3,3,,,"Trânsito oferece estoque intermediário, dependente da circulação de navios."
TRADE_ROLE,DEMAND,1,5,,,"Bem procurado como item de troca, com baixa oferta local presumida no protótipo."
TRADE_ROLE,UNKNOWN,2,2,,,"Fallback conservador para presença sem direção comercial segura."
SOURCE_TYPE,LOCAL,,,0.08,,"Estoque de origem local recebe baixa volatilidade-base."
SOURCE_TYPE,HINTERLAND,,,0.12,,"Fluxo de hinterland é estrutural, mas sujeito a transporte terrestre/regional."
SOURCE_TYPE,IMPORTED,,,0.28,,"Estoque importado depende da chegada de navios ou caravanas."
SOURCE_TYPE,TRANSIT,,,0.35,,"Estoque de trânsito recebe a maior volatilidade-base da versão v0.1."
SOURCE_TYPE,UNKNOWN,,,0.25,,"Fallback conservador para origem não resolvida."
ACCESS_REGIME,OPEN_MARKET,,,,0.05,"Baixa fricção institucional de referência."
ACCESS_REGIME,CAPTAINCY,,,,0.08,"Pequena fricção administrativa de referência."
ACCESS_REGIME,ROYAL_MONOPOLY,,,,0.25,"Fricção elevada para representar acesso controlado; não é uma alíquota histórica."
ACCESS_REGIME,ROYAL_MONOPOLY_LEASED,,,,0.22,"Acesso concessionado/restrito; índice de simulação."
ACCESS_REGIME,FOREIGN_NEGOTIATED,,,,0.18,"Inclui negociação, corretagem e incerteza de acesso em mercado estrangeiro."
ACCESS_REGIME,MILITARY_POST,,,,0.20,"Mercado subordinado à função militar."
ACCESS_REGIME,NAVIGATION_ONLY,,,,99.00,"Sem mercado comercial no protótipo."
ROUTE_TYPE,OCEANIC,,,,1.00,"Custo-base relativo de uma perna oceânica; sem unidade monetária."
ROUTE_TYPE,COASTAL_OCEANIC,,,,0.65,"Custo-base menor que a perna oceânica longa."
MONSOON_DEPENDENCE,NONE,,,,0.00,"Sem sobretaxa sazonal no protótipo."
MONSOON_DEPENDENCE,MEDIUM,,,,0.25,"Penalidade relativa intermediária para janela sazonal."
MONSOON_DEPENDENCE,HIGH,,,,0.50,"Penalidade relativa alta quando a rota depende fortemente da monção."
