route_id,origin_node,destination_node,good_id,flow_direction,flow_role,period_from,period_to,merchant_group,seasonality,evidence_strength,evidence_scope,source_id,notes
R_SOF_KIL,SOF,KIL,GOLD,NORTHBOUND,TRANSIT,1450,1500,SWAHILI_NETWORK,MONSOON_AND_CURRENTS,B,NETWORK,ALPERS_IOWH,"Ouro extraído no interior chegava a Sofala e era articulado à rede marítima associada a Kilwa."
R_CAL_ADE,CAL,ADE,PEPPER,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,A,REGIONAL,PRAKASH_ECE,"A pimenta do Malabar alimentava o comércio de alto-mar para o Mar Vermelho."
R_CAL_ADE,CAL,ADE,GINGER,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"Gengibre entre as exportações do Malabar; associação ao ramo do Mar Vermelho é regional, não uma contagem específica de Calecute-Aden."
R_CAL_ADE,CAL,ADE,CARDAMOM,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"Cardamomo entre as especiarias do Malabar no comércio para oeste."
R_CAL_ADE,CAL,ADE,TEXTILE_IND,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"Tecidos figuram entre as exportações da costa; a rota específica permanece uma agregação regional."
R_CAL_HUR,CAL,HUR,PEPPER,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"O comércio do Malabar também se orientava ao Golfo Pérsico; a linha registra o fluxo estrutural sem quantidade específica."
R_CAL_HUR,CAL,HUR,GINGER,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"Gengibre incluído como exportação regional do Malabar no ramo ocidental."
R_CAL_HUR,CAL,HUR,TEXTILE_IND,WESTBOUND,EXPORT,1490,1500,PARDESI,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"Tecidos do Malabar participavam do comércio para oeste; evidência específica por viagem ainda deve ser adicionada."
R_CAL_MLK,CAL,MLK,TEXTILE_IND,EASTBOUND,EXPORT,1490,1500,MAPPILA,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"O comércio costeiro e de alto-mar para leste era fortemente associado a mercadores Mappila; a ligação com Melaka é estrutural."
R_CAL_MLK,CAL,MLK,AROMATICS,WESTBOUND,IMPORT,1490,1500,MAPPILA,MONSOONAL,B,REGIONAL,PRAKASH_ECE,"O Malabar importava do leste especiarias e aromáticos; a categoria permanece agregada."
R_CAM_MLK,CAM,MLK,TEXTILE_IND,EASTBOUND,EXPORT,1490,1500,GUJARATI_MERCHANTS,MONSOONAL,A,NETWORK,PRAKASH_ECE,"Tecidos de Gujarat eram um dos principais bens enviados a Melaka."
R_CAM_MLK,CAM,MLK,SILVER,EASTBOUND,TRANSIT,1490,1500,GUJARATI_MERCHANTS,MONSOONAL,B,NETWORK,PRAKASH_ECE,"Prata aparece entre os bens levados de Gujarat para Melaka; não se assume produção local guzerate."
R_CAM_MLK,CAM,MLK,PEPPER,WESTBOUND,IMPORT,1490,1500,GUJARATI_MERCHANTS,MONSOONAL,A,NETWORK,PRAKASH_ECE,"Pimenta estava entre as mercadorias obtidas no circuito oriental e levadas de volta ao oeste da Índia."
R_CAM_MLK,CAM,MLK,CLOVE,WESTBOUND,IMPORT,1490,1500,GUJARATI_MERCHANTS,MONSOONAL,A,NETWORK,PRAKASH_ECE,"Cravo do Sudeste Asiático integrava as cargas de retorno do circuito Melaka-Gujarat."
R_CAM_MLK,CAM,MLK,AROMATICS,WESTBOUND,IMPORT,1490,1500,GUJARATI_MERCHANTS,MONSOONAL,B,NETWORK,PRAKASH_ECE,"Madeiras e aromáticos orientais integravam o conjunto de mercadorias de retorno; mantidos agregados nesta versão."
